language,our_family,glottocode,glottolog_name,glottolog_family,status
Mongghul,Mongolic,huzh1238,Mongghul,Mongolic-Khitan,OK
Evenki,Tungusic,even1259,Evenki,Tungusic,OK
Manchu,Tungusic,manc1252,Manchu,Tungusic,OK
Nanai,Tungusic,nana1257,Nanai,Tungusic,OK
Mandarin,Sino-Tibetan,mand1415,Mandarin Chinese,Sino-Tibetan,MANUAL
Dungan,Sino-Tibetan,dung1253,Dungan,Sino-Tibetan,OK
Cantonese,Sino-Tibetan,cant1236,Cantonese,Sino-Tibetan,OK
Eastern Min,Sino-Tibetan,mind1253,Min Dong Chinese,Sino-Tibetan,MANUAL
Hokkien,Sino-Tibetan,minn1241,Min Nan Chinese,Sino-Tibetan,MANUAL
Hakka,Sino-Tibetan,hakk1236,Hakka Chinese,Sino-Tibetan,MANUAL
Wu,Sino-Tibetan,wuch1236,Wu Chinese,Sino-Tibetan,MANUAL
Tibetan,Sino-Tibetan,tibe1272,Tibetan,Sino-Tibetan,OK
Dzongkha,Sino-Tibetan,dzon1239,Dzongkha,Sino-Tibetan,OK
Sherpa,Sino-Tibetan,sher1255,Solu-Khumbu Sherpa,Sino-Tibetan,MANUAL
Burmese,Sino-Tibetan,nucl1310,Burmese,Sino-Tibetan,OK
Nuosu,Sino-Tibetan,sich1238,Sichuan Yi,Sino-Tibetan,MANUAL
Naxi,Sino-Tibetan,naxi1245,Naxi,Sino-Tibetan,OK
Pa'o Karen,Sino-Tibetan,paok1235,Pa'o Karen,Sino-Tibetan,OK
S'gaw Karen,Sino-Tibetan,sgaw1245,S'gaw Karen,Sino-Tibetan,OK
Mizo,Sino-Tibetan,lush1249,Mizo,Sino-Tibetan,OK
Zou,Sino-Tibetan,zouu1235,Zou,Sino-Tibetan,OK
Manipuri,Sino-Tibetan,mani1292,Manipuri,Sino-Tibetan,OK
Khiamniungan Naga,Sino-Tibetan,khia1236,Khiamniungan Naga,Sino-Tibetan,OK
Chepang,Sino-Tibetan,chep1245,Chepang,Sino-Tibetan,OK
Drung,Sino-Tibetan,drun1238,Drung,Sino-Tibetan,OK
Lepcha,Sino-Tibetan,lepc1244,Lepcha,Sino-Tibetan,OK
Limbu,Sino-Tibetan,limb1266,Limbu,Sino-Tibetan,OK
Lutuv,Sino-Tibetan,laut1236,Lautu,Sino-Tibetan,MANUAL
Newar,Sino-Tibetan,newa1247,Newar,Sino-Tibetan,OK
Thai,Kra-Dai (Tai-Kadai),thai1261,Thai,Tai-Kadai,OK
Northern Thai,Kra-Dai (Tai-Kadai),nort2740,Northern Thai,Tai-Kadai,OK
Isan,Kra-Dai (Tai-Kadai),nort2741,Northeastern Thai,Tai-Kadai,MANUAL
Lao,Kra-Dai (Tai-Kadai),laoo1244,Lao,Tai-Kadai,OK
Shan,Kra-Dai (Tai-Kadai),shan1277,Shan,Tai-Kadai,OK
Lü,Kra-Dai (Tai-Kadai),luuu1242,Lü,Tai-Kadai,OK
Tai Dam,Kra-Dai (Tai-Kadai),taid1247,Tai Dam,Tai-Kadai,OK
Tai Nüa,Kra-Dai (Tai-Kadai),tain1252,Tai Nüa,Tai-Kadai,OK
Tày,Kra-Dai (Tai-Kadai),tayy1238,Tày,Tai-Kadai,OK
Zhuang,Kra-Dai (Tai-Kadai),yong1276,Yongbei Zhuang,Tai-Kadai,MANUAL
Saek,Kra-Dai (Tai-Kadai),saek1240,Saek,Tai-Kadai,OK
Mulam,Kra-Dai (Tai-Kadai),mula1253,Mulam,Tai-Kadai,OK
Sui,Kra-Dai (Tai-Kadai),suii1243,Sui,Tai-Kadai,OK
Bouyei,Kra-Dai (Tai-Kadai),bouy1240,Bouyei,Tai-Kadai,OK
White Hmong,Hmong-Mien,hmon1333,Hmong Daw,Hmong-Mien,MANUAL
Iu Mien,Hmong-Mien,iumi1238,Iu Mien,Hmong-Mien,OK
Vietnamese,Austroasiatic,viet1252,Vietnamese,Austroasiatic,OK
Muong,Austroasiatic,muon1246,Muong,Austroasiatic,OK
Eastern Bru,Austroasiatic,east2332,Eastern Bru,Austroasiatic,OK
